2025-01-20 13:46:37,E6,28.07912,-15.45265
2025-01-20 13:47:40,E6,28.07911,-15.45262
2025-01-20 13:49:08,E6,28.07914,-15.45268
2025-01-20 13:50:36,E6,28.07915,-15.45273
2025-01-20 13:52:05,E6,28.07915,-15.45274
2025-01-20 13:53:46,E6,28.07916,-15.45270
2025-01-20 13:53:58,E6,28.07916,-15.45270
2025-01-20 13:54:49,E6,28.07916,-15.45271
2025-01-20 13:56:30,E6,28.07916,-15.45273
2025-01-22 18:11:35,E6,28.08000,-15.45241
2025-01-22 18:17:55,E6,28.07999,-15.45241
2025-01-22 18:18:33,E6,28.07998,-15.45239
2025-01-22 18:19:10,E6,28.07997,-15.45239
2025-01-22 18:19:48,E6,28.07999,-15.45239
2025-01-22 18:20:50,E6,28.07999,-15.45239
2025-01-22 18:21:15,E6,28.07998,-15.45241
2025-01-22 18:21:53,E6,28.07998,-15.45241
2025-01-22 18:22:31,E6,28.07998,-15.45239
